Question,Intent
Kindly Hostel fees for library students?,infrastructure
Please Give me information about mess at NIET,hostel
Please Does NIET have B.Tech fees?,fees
Kindly Does NIET offer Electrical branch?,electrical_courses
Please What is ac room?,hostel
Please What are the features of hostel facilities?,hostel
Provide some information on Electrical course,electrical_courses
Does NIET have mess?,hostel
I want to know Does hostel provide M.Tech fees?,fees
I want to know Fees for Civil course program?,civil_courses
Kindly Career opportunities in average package,placement
Kindly What is JEE admission?,admissions
Kindly Hostel fees for Mechanical department students?,mechanical_courses
Kindly What services are included in sports facilities?,infrastructure
Please Is college fees available on campus?,fees
Please Career opportunities in Mechanical branch,mechanical_courses
Give me details of Civil department,civil_courses
Kindly What are the features of medical facilities?,infrastructure
What services are included in MCA fees?,fees
Kindly Career opportunities in admission form,admissions
Kindly What is the syllabus for CSE?,cse_courses
Kindly Tell me about M.Tech fees facility,fees
Can you please Can you explain about Mechanical branch?,mechanical_courses
Please What courses are offered in AI and ML?,ai_courses
I want to know What labs are available for JEE admission students?,admissions
I want to know Tell me about sports facilities facility,infrastructure
Can you please Is mess available on campus?,hostel
Please Provide some information on Civil department,civil_courses
What labs are available for Machine Learning students?,ai_courses
Can you please Give details about JEE admission,admissions
I want to know Can I apply for AI program?,ai_courses
I want to know Duration of Electrical Engineering course?,electrical_courses
Kindly Does NIET offer mess?,hostel
I want to know What is the syllabus for admission?,admissions
Please Eligibility for M.Tech fees?,fees
Kindly Is gym free for students?,infrastructure
I want to know What courses are offered in sports facilities?,infrastructure
I want to know Tell me about canteen facility,infrastructure
Fees for Civil course program?,civil_courses
Please Give details about Computer Science,cse_courses
Kindly Tell me about average package,placement
I want to know Give me details of ac room,hostel
Please Give details about boys hostel,hostel
Can you please Can I apply for JEE admission?,admissions
Can you please What is Computer Science?,cse_courses
I want to know Hostel fees for Civil branch students?,civil_courses
I want to know Fees for Mechanical course program?,mechanical_courses
I want to know Fees for medical facilities program?,infrastructure
Tell me about MBA fees,fees
Kindly What are the subjects in CSE?,cse_courses
Please Give me information about wifi at NIET,hostel
Kindly Give details about Mechanical course,mechanical_courses
I want to know What are the features of hostel fees?,hostel
I want to know How is MBA fees at NIET?,fees
Please Can I apply for CSE?,cse_courses
Please Give me details of Mechanical department,mechanical_courses
I want to know Eligibility for wifi?,infrastructure
What is the syllabus for Civil Engineering?,civil_courses
I want to know What is the syllabus for mess?,hostel
I want to know Can you explain about college fees?,fees
Can you please Fees for MCA fees program?,fees
Please Does NIET offer average package?,placement
Kindly Give me information about wifi at NIET,hostel
Can you please Is wifi free for students?,hostel
Can you please Career opportunities in internship,placement
Please Placement details for hostel facilities,hostel
Kindly Hostel fees for AI and ML students?,ai_courses
I want to know What labs are available for mess students?,hostel
Can you please How is boys hostel at NIET?,hostel
Can you please What courses are offered in canteen?,infrastructure
Kindly What is Civil Engineering?,civil_courses
Eligibility for hostel?,hostel
Can you please Hostel fees for hostel fees students?,hostel
How is placement training at NIET?,placement
Kindly What are the subjects in Computer Science Engineering?,cse_courses
Kindly What is the syllabus for hostel facilities?,hostel
Is hostel free for students?,hostel
I want to know Career opportunities in Mechanical department,mechanical_courses
Kindly Provide some information on Mechanical Engineering,mechanical_courses
Provide some information on Civil course,civil_courses
Can you please Is hostel facilities available on campus?,hostel
I want to know Duration of admission form course?,admissions
Kindly Fees for average package program?,placement
Kindly What services are included in medical facilities?,infrastructure
I want to know Eligibility for hostel fees?,hostel
Can you please Can you explain about canteen?,infrastructure
Tell me about boys hostel,hostel
Please Does hostel provide campus?,infrastructure
I want to know Does NIET offer Mechanical department?,mechanical_courses
Please Placement details for Computer Science Engineering,cse_courses
Kindly What is companies?,placement
Please Can you explain about canteen?,infrastructure
Please What labs are available for wifi students?,infrastructure
Can you please Can I apply for Electrical department?,electrical_courses
Give me details of canteen,infrastructure
Kindly What is the syllabus for library?,infrastructure
I want to know Placement details for admission form,admissions
Can you please Eligibility for Civil department?,civil_courses
Please What are the subjects in average package?,placement
Please Duration of admission form course?,admissions
Can you please Placement details for tuition fee,fees
I want to know Is sports facilities available at NIET?,infrastructure
Please Eligibility for Artificial Intelligence?,ai_courses
Please Is Electrical course available at NIET?,electrical_courses
I want to know Duration of Mechanical department course?,mechanical_courses
Please What labs are available for admission form students?,admissions
What courses are offered in highest package?,placement
I want to know Give details about CSE,cse_courses
Kindly How is the medical facilities at NIET?,infrastructure
Kindly Give me information about gym at NIET,infrastructure
Can you please Hostel fees for B.Tech fees students?,fees
Can you please What labs are available for JEE admission students?,admissions
Kindly How is AI and ML at NIET?,ai_courses
Please Does hostel provide girls hostel?,hostel
I want to know Can you explain about CS branch?,cse_courses
Kindly Give me information about MBA fees at NIET,fees
Please What is the syllabus for placement?,placement
Please Can I apply for M.Tech fees?,fees
Kindly Give me details of admission process,admissions
I want to know How is Electrical Engineering at NIET?,electrical_courses
Kindly What courses are offered in wifi?,infrastructure
How is hostel fees at NIET?,hostel
Please Can you explain about average package?,placement
Kindly Can you explain about average package?,placement
What courses are offered in admission process?,admissions
I want to know Does NIET offer hostel?,hostel
Can you please Provide some information on college fees,fees
Kindly Is admission date available at NIET?,admissions
Please Does hostel provide mess?,hostel
Can you please Fees for internship program?,placement
Please What is Electrical branch?,electrical_courses
Please Placement details for Civil Engineering,civil_courses
Can you please How is tuition fee at NIET?,fees
Is tuition fee available at NIET?,fees
Can you please Placement details for AI and ML,ai_courses
Please Can you explain about Artificial Intelligence?,ai_courses
Please Give me details of college fees,fees
Please Give details about Mechanical branch,mechanical_courses
I want to know Can I apply for girls hostel?,hostel
Hostel fees for Mechanical Engineering students?,mechanical_courses
I want to know Tell me about Artificial Intelligence,ai_courses
Career opportunities in hostel facilities,hostel
Kindly Does hostel provide library?,infrastructure
I want to know Career opportunities in admission process,admissions
Is ac room available on campus?,hostel
Can you please What are the subjects in Computer Science Engineering?,cse_courses
Can you please Is hostel fees available on campus?,hostel
Can you please Is placement available at NIET?,placement
Can you please Career opportunities in wifi,hostel
Please Does NIET offer gym?,infrastructure
I want to know What is the syllabus for boys hostel?,hostel
Can you please Can you explain about direct admission?,admissions
Please Give me details of Civil branch,civil_courses
Please Does hostel provide gym?,infrastructure
Kindly Provide some information on Mechanical department,mechanical_courses
Kindly Does NIET have campus?,infrastructure
Please Placement details for hostel fees,hostel
I want to know Does NIET have girls hostel?,hostel
Kindly How is Mechanical Engineering at NIET?,mechanical_courses
Please Fees for highest package program?,placement
Kindly Tell me about campus,infrastructure
Can you please What is the syllabus for JEE admission?,admissions
Duration of Mechanical Engineering course?,mechanical_courses
Give details about MCA fees,fees
Is B.Tech fees available on campus?,fees
What services are included in MBA fees?,fees
Kindly Fees for MCA fees program?,fees
Can you please What are the subjects in Civil branch?,civil_courses
I want to know Is college fees available at NIET?,fees
Fees for average package program?,placement
Does NIET offer Mechanical Engineering?,mechanical_courses
Kindly Placement details for canteen,infrastructure
Kindly Is canteen available on campus?,infrastructure
Kindly Does NIET have MCA fees?,fees
What are the subjects in CSE?,cse_courses
Can you please What are the subjects in CS branch?,cse_courses
I want to know Provide some information on MBA fees,fees
I want to know Fees for college fees program?,fees
Please Eligibility for hostel?,hostel
Can you please How is canteen at NIET?,infrastructure
I want to know Does NIET offer MCA fees?,fees
Kindly Fees for placement program?,placement
Please How is gym at NIET?,infrastructure
Is MBA fees free for students?,fees
Kindly What are the subjects in college fees?,fees
Fees for Civil branch program?,civil_courses
I want to know How is boys hostel at NIET?,hostel
I want to know Hostel fees for Mechanical branch students?,mechanical_courses
Kindly Hostel fees for hostel students?,hostel
I want to know Hostel fees for AI program students?,ai_courses
Can you please What labs are available for MCA fees students?,fees
Kindly Tell me about mess facility,hostel
Kindly Duration of AI and ML course?,ai_courses
Does NIET have hostel facilities?,hostel
Kindly Placement details for library,infrastructure
Kindly Can you explain about JEE admission?,admissions
I want to know What are the features of hostel facilities?,hostel
Placement details for placement training,placement
Does hostel provide wifi?,hostel
Please Give details about ac room,hostel
Kindly Placement details for Civil department,civil_courses
What are the subjects in Computer Science Engineering?,cse_courses
Kindly How is boys hostel at NIET?,hostel
Please What services are included in installment payment?,fees
Please Give me details of admission date,admissions
Kindly Is admission available at NIET?,admissions
Kindly Placement details for Civil course,civil_courses
Kindly Tell me about hostel fees facility,hostel
Kindly Can you explain about admission form?,admissions
What is JEE admission?,admissions
I want to know How is canteen at NIET?,infrastructure
I want to know Eligibility for wifi?,hostel
Kindly Fees for Civil branch program?,civil_courses
Career opportunities in Civil branch,civil_courses
How is Electrical Engineering at NIET?,electrical_courses
Give me information about installment payment at NIET,fees
Can you explain about Electrical Engineering?,electrical_courses
Kindly What courses are offered in admission process?,admissions
I want to know Give details about Data Science,ai_courses
Please Eligibility for wifi?,hostel
Kindly Give details about Computer Science Engineering,cse_courses
Eligibility for CSE?,cse_courses
Can you please How is Electrical Engineering at NIET?,electrical_courses
Can you please Provide some information on Data Science,ai_courses
Kindly Provide some information on hostel fees,hostel
I want to know What courses are offered in installment payment?,fees
Please Career opportunities in wifi,hostel
Tell me about AI and ML,ai_courses
I want to know Tell me about M.Tech fees facility,fees
I want to know Does NIET offer AI and ML?,ai_courses
Can you please Duration of JEE admission course?,admissions
Please Can you explain about boys hostel?,hostel
Can you please What is the syllabus for tuition fee?,fees
Can you please Give details about wifi,infrastructure
I want to know Can you explain about placement training?,placement
Kindly How is companies at NIET?,placement
Kindly What are the features of canteen?,infrastructure
I want to know What is the syllabus for Electrical branch?,electrical_courses
Please Duration of wifi course?,infrastructure
Hostel fees for MBA fees students?,fees
Kindly Is MCA fees free for students?,fees
I want to know Is gym free for students?,infrastructure
Can you please What is average package?,placement
Kindly Eligibility for college fees?,fees
Can I apply for direct admission?,admissions
I want to know Fees for companies program?,placement
What are the subjects in Civil Engineering?,civil_courses
Please What are the features of girls hostel?,hostel
Please Career opportunities in direct admission,admissions
Please What are the subjects in Electrical department?,electrical_courses
I want to know Tell me about admission,admissions
What is the syllabus for average package?,placement
Please What are the subjects in admission date?,admissions
Can you please What is the syllabus for highest package?,placement
Please Duration of hostel facilities course?,hostel
Can you please What are the subjects in Mechanical course?,mechanical_courses
Placement details for direct admission,admissions
I want to know Tell me about Electrical course,electrical_courses
Can you please What labs are available for Computer Science students?,cse_courses
Give me details of Electrical Engineering,electrical_courses
I want to know What labs are available for wifi students?,hostel
Kindly What are the subjects in Electrical department?,electrical_courses
Is Electrical department available at NIET?,electrical_courses
I want to know Does NIET have MCA fees?,fees
How is wifi at NIET?,infrastructure
Hostel fees for MCA fees students?,fees
Please What courses are offered in hostel?,hostel
Can you please Give me details of ac room,hostel
Kindly Give details about Machine Learning,ai_courses
Can you please Provide some information on hostel facilities,hostel
What is Electrical department?,electrical_courses
I want to know What are the subjects in MCA fees?,fees
Can you please Tell me about admission,admissions
Can you please Tell me about gym,infrastructure
Give details about admission form,admissions
Please Does hostel provide medical facilities?,infrastructure
What are the subjects in library?,infrastructure
Can you please Provide some information on placement training,placement
Can you please What labs are available for Computer Science Engineering students?,cse_courses
I want to know Is campus available on campus?,infrastructure
I want to know Tell me about Mechanical branch,mechanical_courses
Does NIET have ac room?,hostel
Can you please What services are included in hostel?,hostel
I want to know What is the syllabus for Data Science?,ai_courses
I want to know Can I apply for college fees?,fees
Please What is the syllabus for internship?,placement
Can you please Can I apply for M.Tech fees?,fees
I want to know Fees for Artificial Intelligence program?,ai_courses
I want to know How is wifi at NIET?,infrastructure
Kindly Does NIET have library?,infrastructure
Please Is Civil course available at NIET?,civil_courses
Does NIET have college fees?,fees
I want to know What is the syllabus for Computer Science?,cse_courses
Can you please Is M.Tech fees available at NIET?,fees
Please Is college fees free for students?,fees
Can I apply for highest package?,placement
What services are included in gym?,infrastructure
What labs are available for MBA fees students?,fees
Please Does NIET offer M.Tech fees?,fees
Does NIET offer admission form?,admissions
Please What are the features of installment payment?,fees
Kindly What are the subjects in average package?,placement
I want to know Does NIET offer canteen?,infrastructure
Please Eligibility for admission form?,admissions
Can you please Can I apply for Data Science?,ai_courses
Can you please Fees for library program?,infrastructure
Please Tell me about medical facilities facility,infrastructure
What are the subjects in Mechanical Engineering?,mechanical_courses
Is CSE available at NIET?,cse_courses
Kindly What labs are available for girls hostel students?,hostel
Can you please Eligibility for Civil course?,civil_courses
Can you please Give details about Civil department,civil_courses
Please What is Data Science?,ai_courses
Kindly Provide some information on wifi,hostel
I want to know Can I apply for canteen?,infrastructure
I want to know Is highest package available at NIET?,placement
Please Is Electrical branch available at NIET?,electrical_courses
What labs are available for college fees students?,fees
I want to know Placement details for Mechanical Engineering,mechanical_courses
Can you please What courses are offered in Civil course?,civil_courses
Please Does NIET have canteen?,infrastructure
Can you please Duration of mess course?,hostel
Provide some information on Mechanical course,mechanical_courses
Career opportunities in MBA fees,fees
Can you please Give me details of highest package,placement
Hostel fees for CS branch students?,cse_courses
Kindly Tell me about B.Tech fees,fees
Please Hostel fees for AI program students?,ai_courses
Fees for Machine Learning program?,ai_courses
What is MBA fees?,fees
Can you please What are the features of MCA fees?,fees
Kindly What is B.Tech fees?,fees
Kindly What labs are available for highest package students?,placement
Please Does NIET have library?,infrastructure
Can you please Can you explain about campus?,infrastructure
Kindly Tell me about library facility,infrastructure
Please Eligibility for boys hostel?,hostel
I want to know Does NIET offer admission date?,admissions
Is mess free for students?,hostel
Kindly What is the syllabus for internship?,placement
Can you please What is the syllabus for hostel fees?,hostel
Can you please Can you explain about internship?,placement
Can you please Give details about hostel facilities,hostel
Can you please Placement details for CS branch,cse_courses
Please Eligibility for Civil branch?,civil_courses
Kindly Hostel fees for canteen students?,infrastructure
What are the features of girls hostel?,hostel
Kindly Placement details for AI and ML,ai_courses
Please Is girls hostel available at NIET?,hostel
Can you please What labs are available for wifi students?,hostel
Give me information about hostel at NIET,hostel
I want to know Fees for Civil department program?,civil_courses
Can you please Can I apply for installment payment?,fees
I want to know Placement details for Electrical course,electrical_courses
Please Placement details for Electrical department,electrical_courses
Can you please Eligibility for hostel fees?,hostel
Can you please Hostel fees for library students?,infrastructure
Kindly Fees for CSE program?,cse_courses
Does hostel provide hostel facilities?,hostel
Can you please Provide some information on M.Tech fees,fees
Kindly Is campus available on campus?,infrastructure
Please Eligibility for companies?,placement
Give me information about M.Tech fees at NIET,fees
I want to know What labs are available for admission process students?,admissions
Can you please Give me details of girls hostel,hostel
Please What services are included in library?,infrastructure
Placement details for ac room,hostel
Please Duration of placement training course?,placement
Can you please What is hostel facilities?,hostel
Can you please Does NIET offer internship?,placement
Kindly Does NIET have wifi?,infrastructure
Does hostel provide medical facilities?,infrastructure
Placement details for Computer Science Engineering,cse_courses
Please What are the features of ac room?,hostel
I want to know Career opportunities in wifi,hostel
Kindly What labs are available for gym students?,infrastructure
Kindly What labs are available for wifi students?,infrastructure
I want to know Give me information about library at NIET,infrastructure
Kindly What are the subjects in admission form?,admissions
Kindly What is the syllabus for admission date?,admissions
Please Hostel fees for B.Tech fees students?,fees
Can you please What is canteen?,infrastructure
Kindly Can I apply for boys hostel?,hostel
I want to know Give details about companies,placement
Kindly What is average package?,placement
Please How is the sports facilities at NIET?,infrastructure
Hostel fees for wifi students?,hostel
Please Provide some information on Mechanical department,mechanical_courses
Please Give details about MCA fees,fees
Please What labs are available for JEE admission students?,admissions
Please How is the hostel fees at NIET?,hostel
Please Give details about M.Tech fees,fees
I want to know Provide some information on Electrical branch,electrical_courses
I want to know Hostel fees for direct admission students?,admissions
Kindly Can you explain about Mechanical branch?,mechanical_courses
I want to know Placement details for campus,infrastructure
Can you please Placement details for college fees,fees
Is Artificial Intelligence available at NIET?,ai_courses
Kindly Placement details for Electrical course,electrical_courses
Can you please Is mess free for students?,hostel
Kindly Does NIET offer hostel?,hostel
Can you please Tell me about Electrical Engineering,electrical_courses
I want to know Does NIET have tuition fee?,fees
Kindly Career opportunities in companies,placement
I want to know Can I apply for Electrical branch?,electrical_courses
Please Career opportunities in boys hostel,hostel
Hostel fees for companies students?,placement
Can you please Is M.Tech fees available on campus?,fees
Please Career opportunities in canteen,infrastructure
Give me details of Computer Science Engineering,cse_courses
Please Can I apply for Mechanical course?,mechanical_courses
What are the features of tuition fee?,fees
What is the syllabus for boys hostel?,hostel
Kindly Provide some information on installment payment,fees
Can you please What services are included in MBA fees?,fees
I want to know Hostel fees for tuition fee students?,fees
I want to know What labs are available for AI program students?,ai_courses
Kindly Give me details of Artificial Intelligence,ai_courses
Kindly What are the subjects in admission?,admissions
Give me details of installment payment,fees
Please What are the features of MBA fees?,fees
What labs are available for Civil branch students?,civil_courses
Is hostel available on campus?,hostel
Kindly Tell me about MCA fees facility,fees
Please Is medical facilities free for students?,infrastructure
Placement details for AI and ML,ai_courses
Please Can you explain about wifi?,hostel
Can you please Is JEE admission available at NIET?,admissions
Kindly What courses are offered in ac room?,hostel
Kindly Hostel fees for tuition fee students?,fees
What is the syllabus for admission form?,admissions
Kindly Career opportunities in canteen,infrastructure
Provide some information on gym,infrastructure
Kindly Tell me about wifi facility,hostel
I want to know What is CSE?,cse_courses
Does NIET offer mess?,hostel
Kindly How is the sports facilities at NIET?,infrastructure
Can you please How is average package at NIET?,placement
Kindly Duration of CSE course?,cse_courses
Kindly Placement details for Electrical department,electrical_courses
Can you please Provide some information on Civil course,civil_courses
Kindly What is the syllabus for CS branch?,cse_courses
I want to know Does hostel provide library?,infrastructure
Please Eligibility for AI program?,ai_courses
Kindly Placement details for Computer Science,cse_courses
Please Give me details of Electrical department,electrical_courses
Can you please Hostel fees for Civil course students?,civil_courses
Kindly Is boys hostel available at NIET?,hostel
Can you please Fees for AI program program?,ai_courses
Kindly Fees for Artificial Intelligence program?,ai_courses
Kindly Duration of Civil Engineering course?,civil_courses
Kindly Career opportunities in Civil course,civil_courses
Can you please What courses are offered in Civil branch?,civil_courses
Kindly Eligibility for Electrical branch?,electrical_courses
I want to know Tell me about B.Tech fees facility,fees
Can you please Give me details of MBA fees,fees
Kindly Is installment payment free for students?,fees
I want to know Career opportunities in hostel facilities,hostel
Is B.Tech fees free for students?,fees
Can you please Is direct admission available at NIET?,admissions
Kindly What is Electrical department?,electrical_courses
Please Can you explain about medical facilities?,infrastructure
Can you please Placement details for wifi,hostel
Fees for B.Tech fees program?,fees
What services are included in medical facilities?,infrastructure
Kindly What courses are offered in Computer Science Engineering?,cse_courses
Please Placement details for admission form,admissions
Kindly Can I apply for girls hostel?,hostel
Please Career opportunities in JEE admission,admissions
Kindly Fees for Data Science program?,ai_courses
I want to know Is Artificial Intelligence available at NIET?,ai_courses
I want to know Give details about B.Tech fees,fees
I want to know Give details about wifi,infrastructure
Kindly Career opportunities in mess,hostel
Please What are the subjects in MCA fees?,fees
Please What services are included in boys hostel?,hostel
Kindly Placement details for direct admission,admissions
Give details about tuition fee,fees
Tell me about Data Science,ai_courses
Please Give me information about ac room at NIET,hostel
Kindly Eligibility for CS branch?,cse_courses
Kindly Is hostel free for students?,hostel
I want to know Tell me about Mechanical department,mechanical_courses
Can you please How is Electrical department at NIET?,electrical_courses
Kindly What is the syllabus for canteen?,infrastructure
Can you please Provide some information on MBA fees,fees
Tell me about admission process,admissions
Fees for ac room program?,hostel
Please Can you explain about Civil course?,civil_courses
Can you please What is the syllabus for Mechanical branch?,mechanical_courses
Kindly Is mess available on campus?,hostel
Can I apply for gym?,infrastructure
Kindly Provide some information on MBA fees,fees
Kindly Can you explain about Civil Engineering?,civil_courses
Kindly How is JEE admission at NIET?,admissions
I want to know How is admission process at NIET?,admissions
Kindly Tell me about sports facilities facility,infrastructure
What are the features of B.Tech fees?,fees
Fees for Computer Science program?,cse_courses
I want to know Tell me about AI program,ai_courses
Can you please What courses are offered in hostel fees?,hostel
Can you please Career opportunities in campus,infrastructure
I want to know Placement details for Electrical Engineering,electrical_courses
I want to know Tell me about CS branch,cse_courses
Please Fees for ac room program?,hostel
I want to know Career opportunities in medical facilities,infrastructure
Kindly Provide some information on admission,admissions
Can you please Is college fees free for students?,fees
Kindly Give me details of admission date,admissions
Kindly Give me details of admission form,admissions
Please Give me details of wifi,infrastructure
Kindly Tell me about admission,admissions
I want to know What courses are offered in Mechanical department?,mechanical_courses
Can you please Hostel fees for sports facilities students?,infrastructure
Please What labs are available for campus students?,infrastructure
Kindly Does NIET have MBA fees?,fees
Duration of campus course?,infrastructure
Give details about Electrical department,electrical_courses
Please Is M.Tech fees available at NIET?,fees
Please What are the subjects in B.Tech fees?,fees
I want to know Duration of boys hostel course?,hostel
Kindly Hostel fees for B.Tech fees students?,fees
Can you please Give me details of Civil Engineering,civil_courses
Duration of MCA fees course?,fees
I want to know What is wifi?,hostel
Can you please Duration of college fees course?,fees
I want to know Fees for CS branch program?,cse_courses
Please What are the subjects in Civil branch?,civil_courses
Can you please How is the M.Tech fees at NIET?,fees
Can you please Is MCA fees free for students?,fees
Kindly How is the B.Tech fees at NIET?,fees
Kindly Eligibility for M.Tech fees?,fees
Kindly What is the syllabus for Mechanical branch?,mechanical_courses
Can you please Career opportunities in Data Science,ai_courses
How is Computer Science at NIET?,cse_courses
Can you please What services are included in sports facilities?,infrastructure
Please Tell me about hostel fees facility,hostel
I want to know What is Mechanical Engineering?,mechanical_courses
Tell me about Civil course,civil_courses
Please Hostel fees for library students?,infrastructure
Please Give details about highest package,placement
Can you please Provide some information on JEE admission,admissions
What is college fees?,fees
Can you please How is AI and ML at NIET?,ai_courses
Can you please Give me information about girls hostel at NIET,hostel
Kindly Is admission process available at NIET?,admissions
Career opportunities in hostel,hostel
Fees for Electrical Engineering program?,electrical_courses
I want to know What is the syllabus for Mechanical department?,mechanical_courses
How is AI and ML at NIET?,ai_courses
Can you please Give me information about M.Tech fees at NIET,fees
Kindly Placement details for tuition fee,fees
Can you please Fees for Mechanical department program?,mechanical_courses
Career opportunities in placement,placement
Kindly Duration of JEE admission course?,admissions
Can you please What is placement?,placement
Kindly Give me details of AI and ML,ai_courses
Please Can you explain about MBA fees?,fees
Please Placement details for admission,admissions
I want to know What is Civil course?,civil_courses
I want to know What is Computer Science?,cse_courses
Please Does hostel provide M.Tech fees?,fees
Kindly Hostel fees for M.Tech fees students?,fees
How is Civil Engineering at NIET?,civil_courses
Kindly Eligibility for hostel facilities?,hostel
Can you please What is girls hostel?,hostel
Please What is the syllabus for Electrical Engineering?,electrical_courses
I want to know Is wifi free for students?,infrastructure
Please Give me details of Electrical course,electrical_courses
Can you please Eligibility for admission date?,admissions
Can I apply for wifi?,infrastructure
I want to know What courses are offered in ac room?,hostel
Can you please Hostel fees for mess students?,hostel
Can you please Fees for admission program?,admissions
Kindly Does NIET offer B.Tech fees?,fees
Can you please Fees for placement program?,placement
Career opportunities in admission date,admissions
What are the subjects in installment payment?,fees
Eligibility for Computer Science Engineering?,cse_courses
Please How is CSE at NIET?,cse_courses
Please Eligibility for Electrical department?,electrical_courses
Please How is Computer Science Engineering at NIET?,cse_courses
Please How is sports facilities at NIET?,infrastructure
I want to know Can I apply for wifi?,hostel
Please What are the subjects in Civil course?,civil_courses
Give details about average package,placement
Can you please Fees for Electrical department program?,electrical_courses
Please Tell me about average package,placement
Can you please What is admission date?,admissions
I want to know Eligibility for AI and ML?,ai_courses
Can you please How is Electrical branch at NIET?,electrical_courses
I want to know Give details about campus,infrastructure
Can you please Fees for M.Tech fees program?,fees
I want to know What is the syllabus for Electrical department?,electrical_courses
Can you please What are the features of sports facilities?,infrastructure
Can you please What labs are available for Artificial Intelligence students?,ai_courses
I want to know Placement details for AI program,ai_courses
I want to know How is the canteen at NIET?,infrastructure
Please What courses are offered in campus?,infrastructure
I want to know Fees for Mechanical branch program?,mechanical_courses
Can you please Tell me about Civil department,civil_courses
Kindly Give me information about hostel facilities at NIET,hostel
I want to know Provide some information on CS branch,cse_courses
Can I apply for college fees?,fees
I want to know Is Electrical department available at NIET?,electrical_courses
I want to know What courses are offered in internship?,placement
Kindly Placement details for admission process,admissions
Kindly What services are included in wifi?,infrastructure
What labs are available for Mechanical course students?,mechanical_courses
Please What courses are offered in direct admission?,admissions
Can you please Tell me about Machine Learning,ai_courses
Please Give details about AI program,ai_courses
Provide some information on wifi,infrastructure
I want to know Duration of hostel fees course?,hostel
Please Can you explain about library?,infrastructure
Please Duration of Civil course course?,civil_courses
Please Tell me about MBA fees,fees
Please Tell me about internship,placement
Please Can I apply for Electrical course?,electrical_courses
Kindly Can I apply for internship?,placement
I want to know Duration of ac room course?,hostel
Is boys hostel available on campus?,hostel
Kindly Provide some information on sports facilities,infrastructure
Can you please Provide some information on placement,placement
Can you please What courses are offered in JEE admission?,admissions
Placement details for Mechanical branch,mechanical_courses
Kindly Fees for M.Tech fees program?,fees
How is sports facilities at NIET?,infrastructure
Kindly What is the syllabus for Artificial Intelligence?,ai_courses
Please How is direct admission at NIET?,admissions
Kindly What labs are available for college fees students?,fees
I want to know Is Electrical branch available at NIET?,electrical_courses
Fees for college fees program?,fees
Please Tell me about gym facility,infrastructure
Can you please What labs are available for girls hostel students?,hostel
Kindly Placement details for B.Tech fees,fees
What labs are available for Computer Science students?,cse_courses
Kindly How is the wifi at NIET?,infrastructure
Can you please What are the subjects in companies?,placement
Please Placement details for average package,placement
I want to know Placement details for Civil Engineering,civil_courses
Can you please Tell me about MBA fees facility,fees
Please Give details about Civil course,civil_courses
Can you please What is the syllabus for girls hostel?,hostel
Tell me about JEE admission,admissions
Kindly Tell me about mess,hostel
I want to know Is internship available at NIET?,placement
Can you please Is tuition fee free for students?,fees
Please What labs are available for average package students?,placement
Kindly What is Mechanical department?,mechanical_courses
Please Placement details for Data Science,ai_courses
Can you please Give details about hostel fees,hostel
Give me details of girls hostel,hostel
Please Does NIET offer Mechanical branch?,mechanical_courses
Please What courses are offered in Data Science?,ai_courses
I want to know Can you explain about highest package?,placement
Can you please Provide some information on ac room,hostel
Can you please Tell me about direct admission,admissions
Kindly Is Civil Engineering available at NIET?,civil_courses
Can you please What are the features of library?,infrastructure
Can you please Is ac room available at NIET?,hostel
Can you please Give me details of direct admission,admissions
I want to know Eligibility for Civil course?,civil_courses
I want to know Give me information about campus at NIET,infrastructure
Hostel fees for installment payment students?,fees
Please Duration of Electrical course course?,electrical_courses
I want to know How is the installment payment at NIET?,fees
What services are included in hostel facilities?,hostel
Kindly Tell me about Mechanical Engineering,mechanical_courses
Kindly Tell me about Civil department,civil_courses
Can you please Is MCA fees available at NIET?,fees
How is the installment payment at NIET?,fees
Can you please Career opportunities in Mechanical department,mechanical_courses
I want to know Can I apply for MBA fees?,fees
I want to know What are the subjects in admission form?,admissions
Kindly Tell me about Computer Science,cse_courses
I want to know Can you explain about admission form?,admissions
Kindly Career opportunities in Electrical course,electrical_courses
Please Tell me about Civil department,civil_courses
Give details about admission process,admissions
Give me details of admission form,admissions
Please Does NIET offer admission date?,admissions
Placement details for MCA fees,fees
Kindly Can I apply for admission process?,admissions
What labs are available for Civil department students?,civil_courses
Can you please What courses are offered in average package?,placement
Kindly Career opportunities in Computer Science,cse_courses
Can you please What are the subjects in Civil course?,civil_courses
Please Provide some information on AI program,ai_courses
Please Career opportunities in girls hostel,hostel
Kindly Can I apply for Civil course?,civil_courses
Please Hostel fees for boys hostel students?,hostel
Kindly Provide some information on canteen,infrastructure
Kindly What is admission date?,admissions
Can you please Is admission form available at NIET?,admissions
What services are included in ac room?,hostel
Can you explain about direct admission?,admissions
Kindly How is hostel at NIET?,hostel
Can you please Does NIET have sports facilities?,infrastructure
I want to know Hostel fees for hostel fees students?,hostel
I want to know What is the syllabus for M.Tech fees?,fees
Give me details of library,infrastructure
I want to know Does hostel provide gym?,infrastructure
What courses are offered in library?,infrastructure
I want to know Give details about JEE admission,admissions
Can you please Career opportunities in MCA fees,fees
I want to know Can you explain about Computer Science Engineering?,cse_courses
Please Tell me about Electrical department,electrical_courses
Can you please What is mess?,hostel
Kindly How is canteen at NIET?,infrastructure
